count,date
6.0,2019-11-01 01:58:35
2.0,2019-11-01 01:58:46
11.0,2019-11-01 01:58:57
2.0,2019-11-01 01:59:07
21.0,2019-11-01 01:59:09
4.0,2019-11-01 01:59:26
5.0,2019-11-01 01:59:37
0.0,2019-11-01 01:59:48
1.0,2019-11-01 01:59:53
2.0,2019-11-01 02:00:04
1.0,2019-11-01 02:00:17
2.0,2019-11-01 02:00:27
4.0,2019-11-01 02:00:38
0.0,2019-11-01 02:00:49
5.0,2019-11-01 02:00:58
5.0,2019-11-01 02:01:03
6.0,2019-11-01 02:01:14
0.0,2019-11-01 02:01:35
3.0,2019-11-01 02:01:46
8.0,2019-11-01 02:01:49
8.0,2019-11-01 02:01:59
2.0,2019-11-01 02:02:10
0.0,2019-11-01 02:02:21
1.0,2019-11-01 02:02:31
1.0,2019-11-01 02:02:42
9.0,2019-11-01 02:02:55
4.0,2019-11-01 02:03:08
1.0,2019-11-01 02:03:19
4.0,2019-11-01 02:03:41
2.0,2019-11-01 02:03:46
2.0,2019-11-01 02:04:06
8.0,2019-11-01 02:04:12
1.0,2019-11-01 02:04:26
1.0,2019-11-01 02:04:36
2.0,2019-11-01 02:04:48
4.0,2019-11-01 02:04:54
0.0,2019-11-01 02:05:05
5.0,2019-11-01 02:05:14
2.0,2019-11-01 02:05:24
0.0,2019-11-01 02:05:36
0.0,2019-11-01 02:05:56
4.0,2019-11-01 02:06:07
0.0,2019-11-01 02:06:18
4.0,2019-11-01 02:06:24
2.0,2019-11-01 02:06:35
2.0,2019-11-01 02:06:52
0.0,2019-11-01 02:07:04
1.0,2019-11-01 02:07:10
1.0,2019-11-01 02:07:29
3.0,2019-11-01 02:07:43
7.0,2019-11-01 02:07:52
4.0,2019-11-01 02:08:13
4.0,2019-11-01 02:08:23
6.0,2019-11-01 02:08:34
1.0,2019-11-01 02:08:52
3.0,2019-11-01 02:08:55
1.0,2019-11-01 02:09:05
2.0,2019-11-01 02:09:16
1.0,2019-11-01 02:09:30
0.0,2019-11-01 02:09:32
1.0,2019-11-01 02:09:41
105.0,2019-11-01 02:09:52
0.0,2019-11-01 02:10:01
1.0,2019-11-01 02:10:18
7.0,2019-11-01 02:10:28
1.0,2019-11-01 02:10:49
11.0,2019-11-01 02:10:51
0.0,2019-11-01 02:10:59
5.0,2019-11-01 02:11:19
0.0,2019-11-01 02:11:29
0.0,2019-11-01 02:11:54
0.0,2019-11-01 02:12:11
2.0,2019-11-01 02:12:13
2.0,2019-11-01 02:12:29
0.0,2019-11-01 02:12:36
0.0,2019-11-01 02:12:47
11.0,2019-11-01 02:12:58
11.0,2019-11-01 02:13:07
20.0,2019-11-01 02:13:16
9.0,2019-11-01 02:13:31
0.0,2019-11-01 02:13:42
5.0,2019-11-01 02:13:55
46.0,2019-11-01 02:14:05
0.0,2019-11-01 02:14:24
0.0,2019-11-01 02:14:35
2.0,2019-11-01 02:14:46
0.0,2019-11-01 02:14:57
9.0,2019-11-01 02:15:11
1.0,2019-11-01 02:15:21
1.0,2019-11-01 02:15:41
2.0,2019-11-01 02:15:52
3.0,2019-11-01 02:16:03
19.0,2019-11-01 02:16:13
0.0,2019-11-01 02:16:23
6.0,2019-11-01 02:16:34
10.0,2019-11-01 02:16:49
3.0,2019-11-01 02:16:59
1.0,2019-11-01 02:17:21
6.0,2019-11-01 02:17:32
0.0,2019-11-01 02:17:43
2.0,2019-11-01 02:17:54
0.0,2019-11-01 02:18:07
2.0,2019-11-01 02:18:21
0.0,2019-11-01 02:18:32
4.0,2019-11-01 02:18:42
61.0,2019-11-01 02:18:52
0.0,2019-11-01 02:19:12
50.0,2019-11-01 02:19:23
3.0,2019-11-01 02:19:34
9.0,2019-11-01 02:19:43
15.0,2019-11-01 02:19:54
3.0,2019-11-01 02:20:05
3.0,2019-11-01 02:20:16
3.0,2019-11-01 02:20:27
1.0,2019-11-01 02:20:37
1.0,2019-11-01 02:20:48
3.0,2019-11-01 02:20:58
